type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.3803345553943767, 48.88014301640649]], ""type"": ""MultiPoint""}";48.88014301640649;2.3803345553943767
TOILETTES;;JARDIN PAUL DIDIER;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-paul-didier-ex-colonel-manhes-2819;"{""coordinates"": [[2.320485641171495, 48.89546129893611]], ""type"": ""MultiPoint""}";48.89546129893611;2.320485641171495
URINOIR;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.3604302125484193, 48.847625782574625]], ""type"": ""MultiPoint""}";48.847625782574625;2.3604302125484193
SANISETTE;;199  AVENUE DU MAINE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.326307906021836, 48.829610245113265]], ""type"": ""MultiPoint""}";48.829610245113265;2.326307906021836
SANISETTE;;224  AVENUE DE VERSAILLES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.258619846101921, 48.83839708065923]], ""type"": ""MultiPoint""}";48.83839708065923;2.258619846101921
SANISETTE;;4  AVENUE NIEL;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.294473730079993, 48.8789207974837]], ""type"": ""MultiPoint""}";48.8789207974837;2.294473730079993
SANISETTE;;64  AVENUE DE LA GRANDE ARMEE;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2859503097570144, 48.876929890462364]], ""type"": ""MultiPoint""}";48.876929890462364;2.2859503097570144
SANISETTE;;face au 32 AVENUE NIEL;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2955325240081876, 48.8814959992131]], ""type"": ""MultiPoint""}";48.8814959992131;2.2955325240081876
SANISETTE;;opposé au 22 BOULEVARD DES BATIGNOLLES;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3252302106330136, 48.88309755113288]], ""type"": ""MultiPoint""}";48.88309755113288;2.3252302106330136
SANISETTE;;57  RUE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.35883888311633, 48.895089556986164]], ""type"": ""MultiPoint""}";48.895089556986164;2.35883888311633
SANISETTE;;213  AVENUE JEAN JAURES;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3930957598829288, 48.88895144225748]], ""type"": ""MultiPoint""}";48.88895144225748;2.3930957598829288
SANISETTE;;1  RUE DE BUZENVAL;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.402583928887365, 48.84910044336135]], ""type"": ""MultiPoint""}";48.84910044336135;2.402583928887365
SANISETTE;;face au 3 RUE DES DOCTEURS DEJERINE;75020;6 h - 1 h;Oui;;;"{""coordinates"": [[2.4122473739139263, 48.85445502611207]], ""type"": ""MultiPoint""}";48.85445502611207;2.4122473739139263
SANISETTE;;44  RUE BERGER;75001;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3422032218291133, 48.86234030275966]], ""type"": ""MultiPoint""}";48.86234030275966;2.3422032218291133
SANISETTE;;RUE CUVIER;75005;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3603946971559573, 48.844396602628855]], ""type"": ""MultiPoint""}";48.844396602628855;2.3603946971559573
SANISETTE;;130 ter BOULEVARD DE CLICHY;75009;24 h / 24;Oui;;;"{""coordinates"": [[2.3289696159647555, 48.88421434923708]], ""type"": ""MultiPoint""}";48.88421434923708;2.3289696159647555
SANISETTE;;5  BOULEVARD DE CLICHY;75009;24 h / 24;Oui;;;"{""coordinates"": [[2.3391633010364408, 48.88208901871456]], ""type"": ""MultiPoint""}";48.88208901871456;2.3391633010364408
SANISETTE;;8  PLACE JACQUES BONSERGENT;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.360984265180033, 48.8710936939782]], ""type"": ""MultiPoint""}";48.8710936939782;2.360984265180033
SANISETTE;;face au 1 RUE DE METZ;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.354561497762257, 48.87075131711197]], ""type"": ""MultiPoint""}";48.87075131711197;2.354561497762257
SANISETTE;;11  PLACE DE LA BATAILLE DE STALINGRAD;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3687424642685517, 48.88357327133695]], ""type"": ""MultiPoint""}";48.88357327133695;2.3687424642685517
